# \\ thingid : unique identifier
# \\ tf_morpho : morphology of the tidal feature system (visual inspection)
# \\ RA : decimal right ascension
# \\ Dec : decimal declination
# \\ z : SDSS spectroscopic redshift
thingid,tf_morpho,RA,Dec,z
84680413,shell,182.18426509999998,-0.54084,0.06262000000000001
84693854,stream,182.2433472,-0.602688,0.10008
85407635,stream,136.72554019999998,-0.500499,0.17228
85432550,shell,136.3679199,-0.5747720000000001,0.18429
85692744,stream,130.7922668,-0.42908199999999996,0.15552
86098765,stream,214.38906859999997,-0.48507700000000004,0.08366
86098768,stream,214.38359069999996,-0.484892,0.08221
86101855,stream,214.98968509999997,-0.480308,0.13862
86101987,stream,215.0024872,-0.545622,0.13919
86102871,shell,215.0835571,-0.583911,0.32037
86105068,shell,215.32218930000002,-0.61737,0.13831
86106140,shell,215.4959564,-0.590349,0.051089999999999997
86111147,stream,215.834137,-0.4176470000000001,0.19084
86139887,stream,216.6952667,-0.509301,0.25313
86142788,stream,216.81837459999997,-0.49271000000000004,0.32039
86143224,stream,216.9206238,-0.472538,0.13616
86143447,stream,216.8834534,-0.607258,0.07331
86145598,stream,216.97916,-0.562515,0.07916000000000001
86152144,stream,217.4217529,-0.530018,0.0856
86166869,stream,218.87205,-0.537401,0.29062
86169307,stream,219.10011,-0.585603,0.08225
86173007,shell,219.6317139,-0.599412,0.07337
86174364,shell,219.78671260000002,-0.536381,0.11506
86180598,shell,220.44027709999997,-0.470612,0.14861
86603890,stream,134.5888977,-0.549618,0.1892
86845936,stream,213.73472599999997,-0.359082,0.13806
86846802,stream,213.7745056,-0.428021,0.14645999999999998
88306779,stream,335.4881,-0.282978,0.14855
88309977,stream,335.1192200000001,-0.37643499999999996,0.1456
88313502,stream,334.8172,-0.2989,0.13130999999999998
88315374,stream,334.66636,-0.400523,0.09477999999999999
88320998,stream,213.208725,-0.29581999999999997,0.13813
88326576,stream,333.83477999999997,-0.368377,0.11097
88353404,stream,213.48736569999997,-0.308052,0.12850999999999999
88361666,stream,213.6514893,-0.406571,0.18599000000000002
88414945,stream,214.7141266,-0.280202,0.05143
88503527,shell,215.29850770000002,-0.3727,0.05315
88535621,stream,215.7108307,-0.393468,0.13009
88536174,stream,215.7312164,-0.286528,0.13016
88567772,stream,216.233963,-0.37605,0.0789
88588919,stream,216.47970580000003,-0.271552,0.12922999999999998
88841467,stream,218.2507629,-0.375271,0.10503
88929505,stream,218.9289551,-0.29287199999999997,0.05695
88992737,stream,219.4396667,-0.386992,0.13683
88993477,shell,219.4326477,-0.316051,0.13795
89082253,stream,220.93742369999998,-0.25066,0.14107999999999998
89454231,stream,181.796524,-0.232528,0.12957
89462151,stream,180.90966799999998,-0.35274099999999997,0.1199
89462157,stream,180.9204559,-0.325928,0.13047
89462402,stream,180.9739227,-0.28145,0.09395
89464768,stream,180.8097229,-0.21391100000000002,0.16139
89465721,shell,180.69439,-0.247511,0.0936
89478610,stream,179.06985469999995,-0.37250900000000003,0.10914000000000001
89479045,stream,179.0480804,-0.21026799999999998,0.11216
89483448,shell,178.5616608,-0.26893,0.16184
89486167,shell,178.2913513,-0.398989,0.08072
89488814,stream,177.90777590000005,-0.24301199999999998,0.16272
89490570,shell,177.6204376,-0.34971199999999997,0.09917000000000001
89790551,stream,130.61721799999998,-0.283541,0.051329999999999994
89807921,stream,131.9487762,-0.380952,0.050839999999999996
89821852,stream,133.0946045,-0.26366999999999996,0.13295
89832220,stream,134.0407715,-0.291011,0.22396999999999997
89845278,stream,134.95051569999998,-0.36294899999999997,0.12097999999999999
89862178,stream,136.2431335,-0.27693,0.19491
89888639,stream,138.5644073,-0.272379,0.22063000000000002
89892600,stream,139.0731506,-0.40155,0.31801999999999997
89896570,shell,139.3572083,-0.35557,0.16238
89899281,shell,139.74624630000002,-0.216428,0.055810000000000005
89905524,stream,140.3153687,-0.269425,0.15281
90553349,shell,213.6316986,-0.296811,0.30421
90554671,stream,214.3760071,-0.288644,0.25992
90600580,stream,135.8230591,-0.249588,0.22537
91629818,stream,213.60137999999998,-0.191071,0.0537
91633500,stream,214.1941071,-0.215732,0.12678
93387298,stream,333.21735,-0.015998,0.08915
93388462,stream,333.27176000000014,-0.010037,0.0877
93388565,shell,333.34055,-0.05413,0.08722
93391110,stream,333.55695,-0.10594,0.18329
93391560,stream,333.64301,-0.129807,0.2131
93391576,stream,333.64639,-0.13216,0.18397
93392761,stream,333.7913200000001,-0.08230599999999999,0.057579999999999985
93395278,shell,333.97111,-0.055126999999999995,0.12055999999999999
93409317,stream,335.58879,-0.15955,0.28944000000000003
93597434,stream,,,
93643922,stream,178.10931399999996,-0.109972,0.12845
93680359,stream,179.19845580000003,-0.062178,0.17006
93692959,stream,179.466568,-0.165682,0.16455999999999998
93768669,stream,180.11445619999995,-0.08330900000000001,0.2
93776534,stream,180.1873169,-0.15673099999999998,0.16569
93783483,stream,180.2937012,-0.033479,0.16533
93799552,stream,180.6474457,-0.113488,0.20262
93808626,stream,180.76847,-0.124293,0.12224000000000004
93821271,stream,181.0006866,-0.166328,0.11957999999999999
93859084,shell,181.4584351,-0.184442,0.06165
93902094,stream,181.8911591,-0.067521,0.12717
93926908,stream,182.1820831,-0.160672,0.13005
94506017,stream,136.5801849,-0.022049000000000003,0.20218
94574911,stream,134.83622739999998,-0.08291,0.17324
94580631,stream,134.6965332,-0.097742,0.26466
94625831,stream,133.019455,-0.197132,0.12772999999999998
94668031,stream,132.0230713,-0.037268,0.12834
94708206,stream,130.9837952,-0.08301900000000001,0.19071
94751089,stream,130.3135986,-0.154116,0.15467999999999998
95127765,shell,213.01666260000002,-0.020079,0.09573999999999999
95127766,stream,213.00979610000002,-0.025108000000000002,0.16114
